rank_id,feature_mode,max_df,min_df,ngram_range,max_features,sublinear_tf,n_init,seed,vocab_size,nmi,ari,acc,silhouette_cosine
63,char,0.75,4,"(2, 4)",20000.0,True,60,42,20000,0.699308,0.600284,0.818182,0.062556
69,char,0.75,4,"(2, 4)",20000.0,True,80,42,20000,0.699308,0.600284,0.818182,0.062556
87,char,0.8,4,"(2, 4)",20000.0,True,60,42,20000,0.699308,0.600284,0.818182,0.062556
93,char,0.8,4,"(2, 4)",20000.0,True,80,42,20000,0.699308,0.600284,0.818182,0.062556
51,char,0.75,3,"(2, 4)",20000.0,True,60,42,20000,0.699308,0.600284,0.818182,0.061795
57,char,0.75,3,"(2, 4)",20000.0,True,80,42,20000,0.699308,0.600284,0.818182,0.061795
75,char,0.8,3,"(2, 4)",20000.0,True,60,42,20000,0.699308,0.600284,0.818182,0.061795
81,char,0.8,3,"(2, 4)",20000.0,True,80,42,20000,0.699308,0.600284,0.818182,0.061795
64,char,0.75,4,"(2, 4)",30000.0,True,60,42,27716,0.704178,0.590819,0.815909,0.056494
70,char,0.75,4,"(2, 4)",30000.0,True,80,42,27716,0.704178,0.590819,0.815909,0.056494
88,char,0.8,4,"(2, 4)",30000.0,True,60,42,27716,0.704178,0.590819,0.815909,0.056494
94,char,0.8,4,"(2, 4)",30000.0,True,80,42,27716,0.704178,0.590819,0.815909,0.056494
20,word,0.75,4,"(1, 2)",,True,60,42,4788,0.699847,0.592538,0.815909,0.055508
23,word,0.75,4,"(1, 2)",,True,80,42,4788,0.699847,0.592538,0.815909,0.055508
44,word,0.8,4,"(1, 2)",,True,60,42,4788,0.699847,0.592538,0.815909,0.055508
47,word,0.8,4,"(1, 2)",,True,80,42,4788,0.699847,0.592538,0.815909,0.055508
24,word,0.75,4,"(1, 2)",,True,80,52,4788,0.691163,0.579861,0.811364,0.055467
48,word,0.8,4,"(1, 2)",,True,80,52,4788,0.691163,0.579861,0.811364,0.055467
18,word,0.75,4,"(1, 1)",,True,80,52,4210,0.666518,0.542778,0.797727,0.0543
42,word,0.8,4,"(1, 1)",,True,80,52,4210,0.666518,0.542778,0.797727,0.0543
15,word,0.75,4,"(1, 1)",,True,60,52,4210,0.661313,0.521034,0.788636,0.053971
39,word,0.8,4,"(1, 1)",,True,60,52,4210,0.661313,0.521034,0.788636,0.053971
5,word,0.75,3,"(1, 1)",,True,80,42,5715,0.656795,0.514577,0.786364,0.047814
29,word,0.8,3,"(1, 1)",,True,80,42,5715,0.656795,0.514577,0.786364,0.047814
2,word,0.75,3,"(1, 1)",,True,60,42,5715,0.644663,0.511957,0.784091,0.047736
26,word,0.8,3,"(1, 1)",,True,60,42,5715,0.644663,0.511957,0.784091,0.047736
19,word,0.75,4,"(1, 2)",,True,60,41,4788,0.645063,0.496598,0.779545,0.05462
43,word,0.8,4,"(1, 2)",,True,60,41,4788,0.645063,0.496598,0.779545,0.05462
8,word,0.75,3,"(1, 2)",,True,60,42,6939,0.636498,0.479127,0.770455,0.047168
11,word,0.75,3,"(1, 2)",,True,80,42,6939,0.636498,0.479127,0.770455,0.047168
32,word,0.8,3,"(1, 2)",,True,60,42,6939,0.636498,0.479127,0.770455,0.047168
35,word,0.8,3,"(1, 2)",,True,80,42,6939,0.636498,0.479127,0.770455,0.047168
21,word,0.75,4,"(1, 2)",,True,60,52,4788,0.640452,0.480283,0.768182,0.054216
45,word,0.8,4,"(1, 2)",,True,60,52,4788,0.640452,0.480283,0.768182,0.054216
7,word,0.75,3,"(1, 2)",,True,60,41,6939,0.621964,0.447074,0.75,0.046501
10,word,0.75,3,"(1, 2)",,True,80,41,6939,0.621964,0.447074,0.75,0.046501
31,word,0.8,3,"(1, 2)",,True,60,41,6939,0.621964,0.447074,0.75,0.046501
34,word,0.8,3,"(1, 2)",,True,80,41,6939,0.621964,0.447074,0.75,0.046501
9,word,0.75,3,"(1, 2)",,True,60,52,6939,0.606552,0.422226,0.736364,0.046146
12,word,0.75,3,"(1, 2)",,True,80,52,6939,0.606552,0.422226,0.736364,0.046146
33,word,0.8,3,"(1, 2)",,True,60,52,6939,0.606552,0.422226,0.736364,0.046146
36,word,0.8,3,"(1, 2)",,True,80,52,6939,0.606552,0.422226,0.736364,0.046146
